,PRNAME,PCNAME,year,area_type,conn_type,avg_d_kbps,avg_u_kbps,avg_lat_ms
4,Alberta,Alberta Beach - Val Quentin,2022,Rural,fixed,27294.313510101012,9221.085542929293,33.913762626262624
6,Alberta,Athabasca,2022,Rural,fixed,49801.66666666667,11545.0,31.583333333333332
13,Alberta,Barrhead,2022,Rural,mobile,45130.46666666667,5060.722222222223,38.27777777777778
27,Alberta,Bon Accord,2022,Rural,mobile,45106.4,3947.6,52.4
33,Alberta,Bow Island,2022,Rural,mobile,48646.833333333336,9351.833333333334,91.5
45,Alberta,Calmar,2022,Rural,mobile,69884.53333333333,7215.716666666667,48.15
55,Alberta,Cardston,2022,Rural,mobile,40405.555555555555,13225.444444444445,32.111111111111114
57,Alberta,Carstairs,2022,Urban,mobile,25219.583333333336,3000.9166666666665,34.666666666666664
62,Alberta,Clairmont,2022,Rural,fixed,172433.1875,8663.00892857143,34.736607142857146
63,Alberta,Clairmont,2022,Rural,mobile,16475.125,2260.875,41.75
69,Alberta,Coalhurst,2022,Rural,mobile,70793.5,2699.0,32.0
71,Alberta,Coalhurst,2022,Urban,mobile,85368.75,6037.25,43.5
91,Alberta,Drumheller,2022,Rural,mobile,45854.15064102564,6142.740384615385,81.2275641025641
92,Alberta,Duchess,2022,Urban,fixed,40111.541666666664,11845.5,15.816666666666665
93,Alberta,Duchess,2022,Urban,mobile,25344.666666666668,2282.5,28.5
94,Alberta,Eckville,2022,Rural,fixed,40383.375,13091.05357142857,30.416666666666664
103,Alberta,Edson,2022,Urban,mobile,42005.083333333336,4306.166666666667,32.75
104,Alberta,Elk Point,2022,Rural,fixed,30701.599107142858,16784.108333333334,36.423809523809524
105,Alberta,Elk Point,2022,Rural,mobile,29105.44444444445,2092.944444444445,34.0
106,Alberta,Fairview,2022,Rural,fixed,61506.76845238095,8208.173214285714,28.560119047619047
107,Alberta,Fairview,2022,Rural,mobile,45211.2,9977.6,47.0
108,Alberta,Falher,2022,Rural,fixed,22342.783333333333,5912.816666666667,34.475
109,Alberta,Falher,2022,Rural,mobile,68408.19444444445,5501.555555555555,36.94444444444445
121,Alberta,Fox Creek,2022,Rural,mobile,46438.86666666667,12546.366666666665,31.0
123,Alberta,Gibbons,2022,Rural,mobile,75855.7074074074,3664.307407407407,37.77037037037037
125,Alberta,Grand Centre,2022,Rural,mobile,50682.441666666666,7604.693707482993,31.364625850340136
126,Alberta,Grande Cache,2022,Rural,fixed,29571.874016955266,5573.911841630591,38.80684523809524
132,Alberta,Grimshaw,2022,Rural,fixed,74407.66517857143,9653.531845238094,30.247767857142858
135,Alberta,Hanna,2022,Rural,mobile,17636.45238095238,2045.142857142857,60.88095238095239
136,Alberta,High Level,2022,Rural,fixed,36642.78816558442,9105.407305194805,32.348068181818185
138,Alberta,High Prairie,2022,Rural,fixed,39092.330092592594,9494.462962962964,39.2849537037037
150,Alberta,Irricana,2022,Rural,fixed,46469.56249999999,8506.864583333334,26.75
153,Alberta,Jasper,2022,Rural,mobile,45646.02453703704,8396.22962962963,100.2712962962963
154,Alberta,La Crète,2022,Rural,fixed,45295.67658730159,7767.793452380953,39.58859126984127
172,Alberta,Legal,2022,Rural,fixed,41333.7125,23109.625,32.7375
183,Alberta,Magrath,2022,Rural,mobile,37054.5,8072.833333333333,58.833333333333336
184,Alberta,Manning,2022,Rural,fixed,24251.423958333333,4710.028125,36.405208333333334
186,Alberta,Mayerthorpe,2022,Rural,fixed,195735.7738095238,9142.404761904761,29.785714285714285
187,Alberta,Mayerthorpe,2022,Rural,mobile,20207.0,3030.75,32.5
192,Alberta,Millet,2022,Rural,fixed,139594.93129960317,8563.806101190476,19.528869047619047
201,Alberta,Nobleford,2022,Urban,mobile,22019.0,19678.0,29.5
209,Alberta,Olds,2022,Urban,mobile,27998.4,2041.8,80.93333333333334
213,Alberta,Penhold,2022,Rural,mobile,72502.66666666667,6681.0,28.333333333333332
217,Alberta,Picture Butte,2022,Rural,mobile,18077.6,1511.0,32.0
219,Alberta,Pincher Creek,2022,Rural,mobile,81883.22222222223,5457.534722222222,31.743055555555557
223,Alberta,Provost,2022,Rural,mobile,11631.0,576.5,70.5
225,Alberta,Raymond,2022,Rural,mobile,73974.7,7025.5666666666675,38.38333333333333
233,Alberta,Redwater,2022,Rural,mobile,62988.333333333336,5054.0,41.333333333333336
234,Alberta,Rimbey,2022,Rural,fixed,38452.31376262626,15484.383522727272,20.471906565656564
251,Alberta,Stony Plain,2022,Urban,mobile,69938.203125,8435.426041666668,32.4078125
256,Alberta,Sundre,2022,Rural,fixed,44072.816110588974,11693.007022363601,35.09635808270677
265,Alberta,Taber,2022,Urban,mobile,34848.25,7547.125,34.75
268,Alberta,Tofield,2022,Rural,fixed,34339.18571428571,10751.741666666667,31.41904761904762
269,Alberta,Tofield,2022,Rural,mobile,40782.642857142855,3250.714285714286,65.71428571428571
276,Alberta,Two Hills,2022,Rural,fixed,26992.0375,9533.458333333334,20.595833333333335
277,Alberta,Two Hills,2022,Rural,mobile,191213.33333333334,9479.0,28.333333333333332
278,Alberta,Vauxhall,2022,Rural,fixed,33765.76294642857,8935.541071428572,69.31919642857143
284,Alberta,Viking,2022,Rural,fixed,24844.4125,8509.020833333332,23.516666666666666
293,Alberta,Westlock,2022,Rural,mobile,47211.69736842105,4465.25,34.5921052631579
309,British Columbia / Colombie-Britannique,Aldergrove East,2022,Rural,mobile,70895.29166666667,4086.3541666666665,30.458333333333336
314,British Columbia / Colombie-Britannique,Ashcroft,2022,Rural,fixed,58097.873611111114,8388.234375,21.624652777777776
315,British Columbia / Colombie-Britannique,Ashcroft,2022,Rural,mobile,62938.041666666664,9853.791666666666,52.08333333333333
317,British Columbia / Colombie-Britannique,Blind Bay,2022,Rural,mobile,46577.19696969697,5447.295454545455,41.13939393939394
318,British Columbia / Colombie-Britannique,Burns Lake,2022,Rural,fixed,46665.158295454545,18562.62640151515,37.293371212121215
323,British Columbia / Colombie-Britannique,Campbell River,2022,Urban,mobile,57308.8125,5308.5625,25.125
325,British Columbia / Colombie-Britannique,Castlegar,2022,Rural,mobile,74954.08942307692,7644.883653846154,58.5951923076923
327,British Columbia / Colombie-Britannique,Cedar,2022,Rural,mobile,22046.690476190477,1951.7619047619048,85.83333333333334
328,British Columbia / Colombie-Britannique,Chase,2022,Rural,fixed,72372.70974650349,8307.613489808802,24.29429893023643
329,British Columbia / Colombie-Britannique,Chase,2022,Rural,mobile,40635.54761904762,3591.434523809524,37.83333333333333
349,British Columbia / Colombie-Britannique,Cranbrook,2022,Urban,mobile,88738.6875,6742.0,47.875
351,British Columbia / Colombie-Britannique,Creston,2022,Rural,mobile,68629.24583333333,9848.316666666668,78.075
357,British Columbia / Colombie-Britannique,Cumberland,2022,Rural,mobile,55221.8,7500.2,88.0
359,British Columbia / Colombie-Britannique,Cumberland,2022,Urban,mobile,68143.75,8726.5,71.5
369,British Columbia / Colombie-Britannique,Duck Lake,2022,Urban,mobile,53903.4,9858.657142857144,68.85714285714286
381,British Columbia / Colombie-Britannique,Fernie,2022,Rural,mobile,69955.04365079365,5426.084656084657,59.71957671957672
382,British Columbia / Colombie-Britannique,Fort Nelson,2022,Rural,fixed,65181.799999999996,8326.938888888888,33.35462962962963
383,British Columbia / Colombie-Britannique,Fort Nelson,2022,Rural,mobile,31154.0,6090.071428571428,97.35714285714286
385,British Columbia / Colombie-Britannique,Fort St. James,2022,Rural,mobile,111163.0,1656.0,45.0
389,British Columbia / Colombie-Britannique,Fort St. John,2022,Urban,mobile,13480.0,8029.0,33.0
392,British Columbia / Colombie-Britannique,Golden,2022,Rural,fixed,133811.49930555554,9167.44271825397,33.36144841269841
395,British Columbia / Colombie-Britannique,Grand Forks,2022,Rural,mobile,70532.38333333333,9058.853333333333,42.964444444444446
403,British Columbia / Colombie-Britannique,Invermere,2022,Rural,mobile,52292.739583333336,9908.5625,73.7875
413,British Columbia / Colombie-Britannique,Kent,2022,Rural,mobile,31478.114583333336,6419.072916666666,47.73958333333333
415,British Columbia / Colombie-Britannique,Kent,2022,Urban,mobile,21749.916666666664,5181.9375,77.5625
417,British Columbia / Colombie-Britannique,Keremeos,2022,Rural,mobile,69760.5625,9104.25,49.5625
427,British Columbia / Colombie-Britannique,Ladysmith,2022,Urban,mobile,81642.5,6715.5,19.5
433,British Columbia / Colombie-Britannique,Lions Bay,2022,Rural,mobile,24601.5,670.0,25.5
434,British Columbia / Colombie-Britannique,Logan Lake,2022,Rural,fixed,32810.83928571429,6660.335714285714,24.758333333333333
435,British Columbia / Colombie-Britannique,Logan Lake,2022,Rural,mobile,30812.333333333332,8940.0,48.333333333333336
437,British Columbia / Colombie-Britannique,Lumby,2022,Rural,mobile,28977.0,4087.5,89.5
438,British Columbia / Colombie-Britannique,Mackenzie,2022,Rural,fixed,31233.296279761904,5609.954761904762,35.582589285714285
441,British Columbia / Colombie-Britannique,Merritt,2022,Rural,mobile,65455.93928571429,8444.995238095238,43.78690476190476
443,British Columbia / Colombie-Britannique,Miller's Landing,2022,Rural,mobile,174898.75,7629.5,36.125
449,British Columbia / Colombie-Britannique,Nakusp,2022,Rural,mobile,82327.19444444444,9297.888888888889,44.888888888888886
